pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO:0007154,0.544654088050315,0.889692001209884,0.0522693317499306,0.23187719262744,0.968279395548832,222,Q9VLB7|Q9VZU7|Q9V3N7|Q9VA09|O17444|P21187|Q9VTZ4|Q9U9Q4|Q9W2E7|Q9VBP9|Q9VM10|Q9V3I2|P06002|P12080|Q9VPX6|Q9XYZ5|P17336|Q9W552|Q9VH66|M9PF16|O76742|O18333|Q9VZI3|Q9V393|O18332|P16378|Q9VW73|P12370|Q9VP57|Q0KIE7|Q9VF24|O61491|P15425|O62602|Q7K519|Q7KY04|P29829|O61443|Q02748|P48148|Q7KJ08|Q9VB05|P19107|P25455|Q9VH25|Q9NHA8|Q9VW59|Q9VND8|O15971|P16620|Q9VKC7|Q9VN50|Q9VN91|Q9W3N6|A1Z7S3|O44386|A0A0B4LFA6|P08646|P35992|Q9W0C1|Q9VHI1|Q9W2V2
GO:0007155,0.0658499234303216,0.374925864617727,0.216542836735348,0.426836894235157,1.39892442941387,40,Q9VHC3|Q00174|P12080|Q9VN14|Q9U4G1|Q9W260|Q9VZI3|P16378|O61491|A1Z877|Q7KY04|Q9VVG0|P11046|Q24372|O44386
GO:0007156,0.0530786178673427,0.347442680776014,0.321775918075361,0.60747123806951,1.54118430096589,14,Q9VN14|Q9U4G1|Q9W260|Q9VVG0|Q24372|Q9VCT4
GO:0007163,0.946117274167987,1,0.037536290520292,0.20824831857271,0.667538030270753,36,Q9V3I2|Q9VN14|Q9VPX6|P12370|P48148|Q9NBD7|Q9VVA7|Q9VGP6
GO:0007164,0.46448087431694,0.819916955559473,0.0780892306943345,0.409695413701554,1.00404584327291,13,Q9VU68|P16378|P48148|P08646
GO:0007165,0.176395939086294,0.571546052631579,0.11378726182188,0.280320854606729,1.1551220944286,180,Q9VLB7|Q9VZU7|Q9V3N7|Q9VA09|Q9VTZ4|Q9U9Q4|Q9W2E7|Q9VBP9|Q9VM10|Q9V3I2|P06002|P12080|Q9VPX6|Q9XYZ5|Q9W552|Q9VH66|O76742|O18333|Q9VZI3|Q9V393|O18332|P16378|Q9VW73|P12370|Q9VP57|Q0KIE7|Q9VF24|O61491|P15425|O62602|Q7K519|Q7KY04|P29829|O61443|Q02748|P48148|Q7KJ08|Q9VB05|P19107|P25455|Q9NHA8|Q9VW59|Q9VND8|O15971|P16620|Q9VKC7|Q9VN50|Q9VN91|Q9W3N6|A1Z7S3|O44386|A0A0B4LFA6|P08646|P35992|Q9VHI1|Q9W2V2
GO:0007166,0.0577777777777778,0.36245216367383,0.227987202850442,0.370362781128643,1.35249171204109,78,Q9VTZ4|Q9U9Q4|Q9VBP9|P12080|Q9XYZ5|Q9W552|Q9VZI3|Q9V393|P16378|P12370|Q9VP57|Q9VF24|O62602|P29829|O61443|Q02748|P48148|Q7KJ08|P25455|Q9VND8|Q9VN50|Q9W3N6|O44386|A0A0B4LFA6|P08646|P35992|Q9VHI1|P40417|O97102
GO:0007167,0.694620253164557,0.953614292486963,0.0516355964484201,0.276505533324691,0.858658264326373,31,Q9VTZ4|Q9V393|Q9VF24|O62602|O61443|Q02748|Q7KJ08|Q9VND8|P08646|P35992|P40417
GO:0007169,0.866666666666667,1,0.0427591434738678,0.252514723207497,0.730455138147231,23,Q9VTZ4|Q9V393|O62602|Q7KJ08|Q9VND8|P08646|P35992|P40417
GO:0007186,0.282776349614396,0.70694087403599,0.130105630751129,-0.372910666392702,-1.13448176819844,22,P10676|P19334|Q9VH98|Q9VXN2
GO:0007224,0.0973913043478261,0.447607591553061,0.188204146308491,0.549803760628731,1.39487908462268,14,Q9VBP9|Q9XYZ5|Q9V393|P12370|P29829|A0A0B4LFA6|Q9VHI1|O97102
GO:0007264,0.0215915750258628,0.256237366270781,0.352487857583619,0.525260901277495,1.61580918833588,29,Q9VLB7|Q9V3N7|Q9V3I2|Q9VH66|O76742|O18333|O18332|Q7KY04|P48148|Q9VW59|Q9VND8|O15971|A1Z7S3|P08646|O97102|Q9VM50
GO:0007267,0.897058823529412,1,0.0689567351672811,-0.200333291446058,-0.784878809255664,59,X2JAU8|Q9VLP0|P91927|Q9VA37|Q9W1I8|Q7K188|Q9VI75|P36975|Q9VH76|Q9U6R9|Q9VVE2|Q7K1U0|Q7K2L7|Q23983
GO:0007268,0.79940119760479,0.992951046205194,0.0756946307932749,-0.222285076464485,-0.839251313556852,51,X2JAU8|Q9VLP0|P91927|Q9VA37|Q9W1I8|Q7K188|Q9VI75|P36975|Q9VH76|Q9U6R9|Q9VVE2|Q7K1U0
GO:0007269,0.351415094339623,0.7557726373898,0.109250039480711,-0.367758584148974,-1.07754027833583,18,P91927|Q9W1I8|P36975|Q9VH76|Q9U6R9|Q9VVE2|Q23983
GO:0007271,0.0410036964347163,0.303471176228947,0.321775918075361,-0.610979875865364,-1.53876497774311,11,Q9VLP0|Q7K188|Q9VIH9|Q9VII1
GO:0007274,0.481236203090508,0.834787998380895,0.0865399737444125,-0.372001769630485,-0.963227466619857,12,X2JAU8|Q9VA37|P36975|Q23983
GO:0007275,0.904126213592233,1,0.0267456741432593,0.194412766987276,0.833745663016223,288,Q9VZU7|P21187|Q9VTZ4|Q24253|Q0E8E8|Q9VQE0|Q9VU68|Q9W2E7|Q9VBC7|P32392|Q9VHC3|Q9V3I2|P06002|P48596|Q00174|P12080|Q9VN14|Q9VPX6|A8JTM7|Q94901|Q5U117|Q9U4G1|P17336|P45888|M9PF16|O76742|Q7K012|Q24238|Q9W260|Q9VW34|Q9VSN9|Q9W4P5|Q9VZI3|Q9VR79|P05031|Q9VLT3|O18332|P16378|P12370|Q7JZW0|Q9VF24|Q9VFC2|Q9VLB1|Q9VDC6|A1Z877|Q9VY05|O62602|M9NDE3|Q8SXY6|O61443|Q09101|Q02748|P48148|Q9NBD7|Q7KJ08|Q9VVA7|P40797|Q9VW57|Q9VGP6
GO:0007276,0.0363372093023256,0.303471176228947,0.287857117255149,0.366883097889835,1.37726146642301,98,P21187|Q9VU68|Q9VED8|Q9W2E7|Q7K485|Q9V3I2|Q9W0S7|P12080|Q9VPX6|Q94901|O76742|Q9W414|O18332|Q9VJQ6|Q9VAY3|P12370|O62602|Q8SXY6|Q7KY04|Q02748|P48148|Q9NBD7|Q9VB05
GO:0007281,0.104719764011799,0.464634988971272,0.165656695205483,0.342074959448109,1.2563380402091,83,P21187|Q9VU68|Q9VED8|Q7K485|Q9V3I2|P12080|Q9VPX6|Q94901|O76742|Q9W414|P12370|O62602|Q8SXY6|Q7KY04|Q02748|P48148|Q9NBD7|Q9VB05
GO:0007283,0.198036006546645,0.611490490433997,0.123257226381337,0.420940518891533,1.2277261679534,24,P21187|Q9W2E7|Q9W0S7|Q9VJQ6|Q9VAY3
GO:0007292,0.0886262924667651,0.428387144331417,0.181383128498408,0.359418448219006,1.30773652581731,77,P21187|Q9VU68|Q9VED8|Q7K485|Q9V3I2|P12080|Q9VPX6|Q94901|O76742|Q9W414|P12370|O62602|Q8SXY6|Q7KY04|Q02748|P48148|Q9NBD7|Q9VB05
