Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128C, Sample, n/a, Earth_F3	Abundances Count: F8: 128C, Sample, n/a, Earth_F3	Modifications
Q7K0A0	Large ribosomal subunit protein mL42	8.06	1	1	1	13213.175	1	
Q7K0B6	Glutathione S transferase T1	67.98	17	32	17	2041800.7179	31	
Q7K0E6	Aspartate--tRNA ligase, cytoplasmic	22.79	9	13	9	223258.11198	13	
Q7K0L5	5'-nucleotidase	2.17	1	1	1	2122.6323	1	
Q7K0P0	Juvenile hormone-inducible protein 26	8.2	4	4	4	78938.90669999999	4	
Q7K0S1	LD39211p	3.66	2	2	2	42466.7675	2	
Q7K0S5	UBX domain-containing protein 6	34.24	15	27	15	725054.46783	25	
Q7K0S6	LD36817p	27.56	10	14	10	510304.669	14	
Q7K0T7	LD33470p	2.07	2	3	0	9375.575	1	
Q7K0W1	LD27406p	3.67	2	2	2	26421.46	2	
Q7K0W4	LD27203p	57.93	19	64	18	12887168.2092	60	
Q7K0X9	LD23667p	28.72	6	13	6	327185.48653	12	
Q7K126	CCR4-NOT transcription complex subunit 3	5.33	4	5	4	154333.8826	3	
Q7K127	Alpha-galactosidase	35.97	13	22	13	743347.714	22	
Q7K130	Dynactin subunit 4	13.04	5	6	5	35531.5544	4	
Q7K148	Proteasome subunit beta	17.73	5	7	5	125904.87759999999	7	
Q7K159	LD06557p	13.11	4	5	4	45683.368	5	
Q7K180	LD02709p	23.18	10	13	10	299519.2843	12	
Q7K188	GEO05126p1	32.9	7	45	7	17975216.8093	40	
Q7K1C0	GH23780p	50.5	7	12	1	879123.8672	11	
Q7K1C3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	18.25	6	10	6	467645.73500000004	10	
Q7K1C5	GH21176p	6.62	4	5	4	434259.3035	5	
Q7K1H0	GH09096p	20.37	6	7	6	239622.64500000002	7	
Q7K1M4	SD04017p	24.68	8	15	8	472668.81327000004	15	
Q7K1S1	Arginine-hydroxylase NDUFAF5, mitochondrial	7.81	3	4	3	87356.166	4	
Q7K1W5	LD35843p	35.11	14	28	14	2753261.4495	27	
Q7K204	17S U2 SnRNP complex component HTATSF1	12.41	6	8	6	76880.77373	8	
Q7K221	Aspartate aminotransferase, cytoplasmic	34.62	13	30	1	1689957.0768	27	
Q7K2E1	LD05247p	11.72	7	10	7	161039.4539	8	
Q7K2K2	FI04612p	7.06	2	3	1	38532.297399999996	2	
Q7K2L7	GH27120p	17.59	3	12	3	746205.1403	10	
Q7K2N0	Endoplasmic reticulum junction formation protein lunapark	14.73	6	6	6	99737.1227	6	
Q7K2P1	Cuticular protein 50Cb	11.24	2	4	2	84770.6433	4	
Q7K2P3	GH20817p	63.91	15	37	1	1122919.185	33	
Q7K2Q8	Trafficking protein particle complex subunit 5	20.1	4	6	4	261140.45442	6	
Q7K2W6	tyrosinase	26.81	17	23	17	244416.59518	19	
Q7K332	GH17623p	30.96	8	10	7	299358.6543	9	
Q7K3D4	peptidylprolyl isomerase	29.97	12	18	12	839991.5833	16	
Q7K3E2	LD34147p	66.97	33	68	33	7451744.8385	63	
Q7K3H0	LD28067p	2.56	5	7	0	72734.467	4	
Q7K3J0	T-complex protein 1 subunit theta	40.66	21	39	21	2544401.18825	37	
Q7K3N4	GH26015p	15.98	7	11	7	256319.9246	10	
Q7K3V6	Elongation factor Tu, mitochondrial	13.6	6	9	6	168029.95560000002	8	
Q7K3W2	Mitochondrial-processing peptidase subunit alpha	29.5	13	16	13	376913.094	16	
Q7K3W4	GH08941p	26.81	8	27	8	1785901.68598	27	
Q7K3Y9	Spondin-1	4.58	3	3	3	3697.2946	2	
Q7K3Z3	GH01724p	56.76	18	53	18	1936934.1229	48	
Q7K485	Cathepsin D	28.83	8	27	8	2970116.37655	26	
Q7K4C7	choline-phosphate cytidylyltransferase	16.54	8	9	5	150243.3237	7	
Q7K4I5	UBX domain-containing protein 7	6.45	3	3	3	21213.4348	2	
Q7K4J7	LD36653p	7.38	2	3	2	65791.796	3	
Q7K4Q9	Hydroxymethylglutaryl-CoA synthase	10.11	4	4	4	50234.1857	4	
Q7K4T8	LD23856p	6.99	3	4	3	9261.760999999999	3	
Q7K4Y0	Desaturase 1, isoform A	5.74	2	2	1	3291.8233	2	
Q7K511	D-2-hydroxyglutarate dehydrogenase, mitochondrial	14.63	7	10	7	214302.033	9	
Q7K519	GH16429p	23.9	7	8	7	131097.56710000001	8	
Q7K533	GH14572p	5.48	2	2	2	26956.2463	2	
Q7K549	GH13040p	21.35	8	10	8	97975.15100000001	10	
Q7K568	GH10642p	21.49	6	8	6	107782.3555	5	
Q7K569	Glycerol-3-phosphate dehydrogenase	43.65	30	68	30	3462009.09062	62	
Q7K5J8	Cuticular protein 57A, isoform A	38.59	7	21	7	460192.6668	15	
Q7K5M6	GH04176p	37.5	9	17	9	1357681.36226	16	
Q7K7G0	Coatomer subunit delta	32.2	17	24	0	1118019.6586	23	
Q7K860	FI07231p	39.22	6	19	6	5383303.53	19	
Q7K8X7	Glutathione S transferase E9	33.03	7	20	7	2365104.84537	17	
Q7K9H6	Zinc finger FYVE domain-containing protein	3.8	4	5	4	17827.8429	3	
Q7KJ08	receptor protein-tyrosine kinase	2.7	4	5	4	43874.842300000004	5	
Q7KK54	MIP07328p	10.52	7	7	7	114418.21525000001	7	
Q7KK90	GH14654p	50.0	8	36	8	6688350.09	26	
Q7KKI0	T-complex protein 1 subunit epsilon	26.75	15	24	2	1333180.1538	24	
Q7KLE5	Amphiphysin	37.04	23	65	2	5983424.6358199995	61	
Q7KLW9	Pre-mRNA-processing factor 19	19.41	9	14	9	331532.1556	14	
Q7KLX3	Translocon-associated protein subunit delta	24.7	4	16	4	2646070.879	12	
Q7KM15	Transcription factor BTF3	36.09	4	5	4	219475.257	5	
Q7KMM4	Glucosidase II subunit alpha	5.09	5	5	5	87871.7307	5	
Q7KMP8	26S proteasome non-ATPase regulatory subunit 13	30.63	11	23	11	2219183.0206	22	
Q7KMQ0	26S proteasome regulatory subunit 7	54.97	25	67	23	3923017.3928	66	
Q7KMQ6	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	6.42	3	3	0	16404.945200000002	2	
Q7KMS3	Dynein light chain roadblock	39.18	4	7	4	169553.122	7	
Q7KN61	Farnesyl pyrophosphate synthase	3.82	2	2	2	11053.419	2	
Q7KN75	Dodeca-satellite-binding protein 1, isoform A	22.83	27	37	27	2243678.46993	37	
Q7KN94	Electron transfer flavoprotein subunit alpha	82.42	22	116	22	16956966.40548	101	
Q7KND8	FI09619p	6.03	4	5	4	64533.4295	4	
Q7KNM2	Dorsal interacting protein 4	37.11	6	16	6	2241978.1069	16	
Q7KRT4	GH07253p	2.47	1	1	0	6341.524	1	
Q7KRZ3	Exocyst complex component 8	7.89	7	7	0	55019.321899999995	6	
Q7KS11	Uracil-DNA degrading factor, isoform B	11.71	4	7	4	215066.434	6	
Q7KSD3	non-specific serine/threonine protein kinase	15.76	7	12	1	968721.5599999999	12	
Q7KSE4	GH05443p	2.78	2	2	2	12264.4302	2	
Q7KSM5	SUMO-activating enzyme subunit 1	28.78	10	18	10	920113.1976	17	
Q7KSQ0	Citrate transport protein	30.91	11	33	11	4486990.56444	33	
Q7KSQ2	Tyrosine-protein kinase	3.46	3	3	0	39025.1923	3	
Q7KSV7	Uncharacterized protein, isoform D	14.92	5	6	0	28198.367059999997	5	
Q7KSW3	pyridoxal 5'-phosphate synthase	47.68	12	33	1	1809372.36932	27	
Q7KT11	Glyoxylate reductase/hydroxypyruvate reductase	64.72	16	55	0	5077419.12733	48	
Q7KT58	GH08155p	4.4	1	1	1	5123.7183	1	
Q7KT70	FI18641p1	0.94	1	1	1	3621.0098	1	
Q7KTA1	HL01444p	20.67	8	10	8	185637.9086	9	
Q7KTG2	Apolipoprotein lipid transfer particle	5.42	25	26	25	548413.312	25	
Q7KTJ7	Basigin, isoform G	28.55	19	80	6	9259033.00495	77	
Q7KTN9	FI01009p	3.11	2	2	0	22028.546	2	
Q7KTP7	LP22840p	45.86	7	12	7	521457.32503	12	
Q7KTW5	Inositol-1-monophosphatase	58.63	20	90	20	8855836.2487	83	
Q7KUA4	SUMO-activating enzyme subunit	23.0	15	33	15	1285692.1846	31	
Q7KUB3	Ecdysone-inducible gene E1, isoform A	0.68	1	1	1	3375.7827	1	
Q7KUC2	Pyridoxal kinase	26.64	9	22	8	1510903.4570000002	20	
