Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F2	Abundances Count: F5: 128C, Sample, n/a, Earth_F2	Modifications
Q9VFJ3	Serine protease HTRA2, mitochondrial	7.82	3	3	0	56607.219	3	
Q9VFM9	Twinfilin	24.78	8	14	8	204138.98619999998	12	
Q9VFP1	Probable cytochrome P450 6d5	11.81	6	7	6	128886.2582	7	
Q9VFR0	Protein BCCIP homolog	5.05	2	3	2	64295.644	3	
Q9VFS5	Serine/threonine-protein phosphatase 4 regulatory subunit 3	0.71	1	1	0	14442.496	1	
Q9VFS8	26S proteasome non-ATPase regulatory subunit 9	36.36	8	10	8	178661.02675	10	
Q9VFW4	Elongator complex protein 6	3.98	1	2	1	58100.765	2	
Q9VG08	L-dopachrome tautomerase yellow-f2	1.99	1	1	1	5010.131	1	
Q9VG55	Protein hugin	18.32	2	2	2	10131.2138	2	
Q9VG73	Interleukin enhancer-binding factor 2 homolog	25.0	8	11	8	345073.77867	10	
Q9VG74	N-acetylneuraminate-9-phosphate synthase	1.88	1	1	1	5937.11	1	
Q9VG76	Myc-binding protein	11.05	2	2	2	28632.979	1	
Q9VG82	Probable cytochrome P450 9f2	5.43	3	3	3	27147.3841	3	
Q9VG97	Inactive glutathione S-transferase D3	43.72	9	23	9	1541739.2396	22	
Q9VG98	Glutathione S-transferase D2	19.53	6	13	1	207794.28900000002	6	
Q9VGG5	Cadherin-87A	5.16	9	12	9	207200.9459	12	
Q9VGN9	Probable ribosome biogenesis protein RLP24	6.28	1	1	1	19622.818	1	
Q9VGP6	Prefoldin subunit 3	29.9	6	8	6	225667.564	8	
Q9VGQ9	Diphthamide biosynthesis protein 3	10.47	1	1	1	8891.208	1	
Q9VGR2	Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial	8.01	3	3	3	35478.7785	3	
Q9VGR7	J domain-containing protein CG6693	3.34	1	1	0	27051.432	1	
Q9VGS2	Translationally-controlled tumor protein homolog	76.16	12	49	0	3702724.0615999997	47	
Q9VGU6	GTP:AMP phosphotransferase, mitochondrial	43.98	11	17	11	522499.6995	17	
Q9VGV8	Phosducin-like protein 3	8.8	2	3	2	29642.219599999997	3	
Q9VGZ0	Probable cytochrome P450 12e1, mitochondrial	2.11	1	1	1	2241.5894	1	
Q9VH07	RuvB-like helicase 1	23.03	7	14	7	355260.096	14	
Q9VH19	Leishmanolysin-like peptidase	2.64	2	2	2	9978.64	1	
Q9VH39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	47.29	9	11	9	1131574.9628	11	
