Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VG69	LP03547p	32.01	11	35	11	409782.46154	29	
Q9VG81	RH49330p	11.83	6	15	6	60203.97519	11	
Q9VG92	Glutathione S transferase D8	13.21	3	20	2	69573.81023	5	
Q9VGA0	Glutathione S transferase D9, isoform A	42.66	9	19	8	296624.95276	15	
Q9VGA1	Glutathione S transferase D10, isoform A	10.48	3	17	1	7194.6098	2	
Q9VGA3	LD12305p	35.91	7	32	6	304100.85228	25	
Q9VGC2	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	4.58	2	2	2	2917.99997	2	
Q9VGE4	FI04457p	9.25	11	16	11	37240.3026	9	
Q9VGE7	Beta-galactosidase	8.01	4	9	4	9016.40698	5	
Q9VGF3	IP11040p	11.88	5	6	5	11898.492699999999	4	
Q9VGF7	Mitochondrial glutamate carrier 2	21.5	8	32	6	254311.56495	26	
Q9VGJ9	Heme oxygenase	14.53	5	10	5	123673.1245	10	
Q9VGK3	peptidylprolyl isomerase	36.96	4	9	4	85987.1505	8	
Q9VGL0	LD43047p	2.84	4	6	4	1571.1461	2	
Q9VGM2	Fatty acid-binding protein, muscle	84.62	13	246	0	12907748.41236	201	
Q9VGP7	Large ribosomal subunit protein mL40	12.76	3	7	3	28383.3247	7	
Q9VGQ1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	42.52	20	85	20	2909126.09555	73	
Q9VGQ8	Arfaptin	6.76	3	4	3	22027.621600000002	3	
Q9VGR0	DnaJ homolog subfamily C member 17	13.04	4	4	4	6797.349	2	
Q9VGR1	GRIP and coiled-coil domain containing 88 kDa	4.03	3	5	3	7327.6443	4	
Q9VGS3	RH44771p	14.04	3	26	3	555652.0493300001	21	
Q9VGT0	UDP-glucuronosyltransferase	1.36	1	2	1	18110.575	2	
Q9VGT3	GM04645p	5.3	3	5	3	1292.18755	2	
Q9VGT8	UDP-glucuronosyltransferase	3.68	3	7	3	19739.2618	5	
Q9VGU7	Arrestin C-terminal-like domain-containing protein	6.56	3	4	3	13704.21594	4	
Q9VGV9	palmitoyl-protein hydrolase	14.47	4	5	4	29112.2333	3	
Q9VGW7	type I protein arginine methyltransferase	15.16	5	7	5	52757.5033	6	
Q9VGY2	Peptide deformylase	10.08	3	4	1	11703.0753	4	
Q9VGY8	Phytanoyl-CoA dioxygenase domain containing 1	3.82	1	1	1	773.044	1	
Q9VGZ3	Cytoplasmic aconitate hydratase	13.79	14	24	9	106119.70955999999	17	
Q9VH25	Gamma-soluble NSF attachment protein	19.79	6	13	4	45408.65575	5	
Q9VH26	Carbonic anhydrase	17.11	6	21	6	161694.47913	16	
Q9VH37	IP06524p	14.29	3	4	3	20006.0192	3	
Q9VH63	Uncharacterized protein	3.0	2	2	2	3158.0397	2	
Q9VH64	LD29322p	10.03	4	5	4	56874.749200000006	4	
Q9VH66	FI18258p1	29.61	6	13	6	47085.659009999996	9	
Q9VH72	TA01656p1	52.94	7	23	7	297008.07624	17	
Q9VH76	Synaptosomal-associated protein	68.87	15	67	13	374269.44502	37	
Q9VH77	mannose-6-phosphate isomerase	7.58	4	10	4	23693.51244	9	
Q9VH81	protein-serine/threonine phosphatase	8.85	5	7	5	71656.8654	7	
Q9VH85	GH14967p	3.41	3	3	3	4540.7397	1	
Q9VH98	Diuretic hormone 44, isoform A	21.91	6	8	6	124506.99278	6	
Q9VHA1	Spermidine synthase, isoform A	10.45	3	12	0	150745.31865	10	
Q9VHA8	LD25575p	12.25	8	20	8	161935.78665	15	
Q9VHB1	Mitochondrial pyruvate carrier	35.06	5	19	1	144323.03407	12	
Q9VHB8	2-oxoisovalerate dehydrogenase subunit alpha	7.74	4	7	4	56502.58234	6	
Q9VHC3	Blistery, isoform A	13.19	10	18	10	108935.9368	14	
Q9VHC7	FI21236p1	30.54	19	54	9	771469.73727	37	
Q9VHC8	LD31448p	10.06	2	2	2	461.18515	1	
Q9VHE3	GH05665p	9.38	4	6	4	33153.0155	6	
Q9VHE4	omega-amidase	17.31	5	13	5	58498.72408	11	
