Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VWQ3	LD35981p	6.12	2	2	0	4337.3877	2	
Q9VWQ7	Coactosin-like protein	29.45	6	11	0	77478.97475	9	
Q9VWS1	Houki	9.33	2	3	2	51251.38373	3	
Q9VWT1	histidine--tRNA ligase	27.78	14	37	1	282807.65852	31	
Q9VWT3	Gamma-glutamyl transpeptidase, isoform A	7.94	5	5	5	21958.8295	5	
Q9VWU0	FI18411p1	2.23	1	2	1	2691.2993	2	
Q9VWV6	Transferrin	63.81	41	264	41	6679983.87831	203	
Q9VWW2	GH13094p	17.43	9	19	9	18124.688130000002	5	
Q9VX02	Mitochondrial fission process protein 1	14.02	3	11	3	69686.27004	10	
Q9VX08	LD10434p	4.16	2	3	2	12053.5764	3	
Q9VX15	Replication factor C subunit 2	7.08	3	5	3	6587.07034	5	
Q9VX26	Chascon, isoform A	2.65	4	4	0	8202.80058	3	
Q9VX36	NADH dehydrogenase (Ubiquinone) 24 kDa subunit, isoform A	63.22	17	91	17	2687632.98844	79	
Q9VX69	FI01450p	6.57	3	29	2	91929.75589999999	7	
Q9VXA3	LP21163p	16.85	11	23	11	113559.54151	18	
Q9VXA9	RE04047p	8.03	2	3	2	6717.862	1	
Q9VXC1	MIP06432p1	36.87	6	12	3	109642.95947	11	
Q9VXC9	trypsin	49.0	9	23	9	400074.72284	22	
Q9VXE8	Ubiquitin-conjugating enzyme E2 G2	18.56	4	8	4	25826.6865	5	
Q9VXF9	AT13091p	15.5	8	19	8	56254.823840000005	13	
Q9VXG0	Cell division cycle 50, isoform A	8.96	3	8	1	41978.611000000004	7	
Q9VXH4	RE16337p	51.96	3	7	3	48231.4762	6	
Q9VXH7	FI17510p1	22.59	6	21	6	263633.26674	17	
Q9VXI1	L-gulonate 3-dehydrogenase	54.6	11	26	11	281280.21446	20	
Q9VXI6	Cytochrome b-c1 complex subunit 7	64.86	9	43	7	1795627.46307	38	
Q9VXJ7	GH03748p1	11.25	12	13	12	20833.94075	8	
Q9VXK7	Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	32.13	7	15	6	119606.72912999999	13	
Q9VXK9	Centrosomal protein 164, isoform A	2.57	4	5	4	18897.69843	4	
Q9VXL4	Nuclear nucleic acid-binding protein C1D	10.69	2	2	2	4605.91944	2	
Q9VXM4	LD12946p	61.29	13	44	13	897932.9385	38	
Q9VXN1	LD03728p	9.22	3	5	3	4167.62477	3	
Q9VXN3	LD07988p	17.42	8	15	8	60829.41644	13	
Q9VXP3	GH05406p	12.21	7	8	7	19201.4096	5	
Q9VXQ0	Large ribosomal subunit protein uL3m	7.73	3	4	3	44095.3093	4	
Q9VXQ3	Diphosphomevalonate decarboxylase	7.47	3	4	3	11941.9454	4	
Q9VXQ5	Chaperonin containing TCP1 subunit 6	41.46	21	49	21	529852.2861200001	43	
Q9VXR9	FI03680p	10.91	4	5	4	19759.3134	5	
Q9VXV1	RH52220p	19.02	4	5	4	13611.994730000002	5	
Q9VXY3	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	21.0	10	26	10	164384.92136	19	
Q9VXZ0	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	18.8	2	26	2	330379.00796	17	
Q9VXZ8	Luciferin 4-monooxygenase	18.93	10	20	10	195585.29949	20	
Q9VY05	GH11762p	12.2	8	19	8	116306.3693	14	
Q9VY16	Uncharacterized protein, isoform A	8.35	6	9	0	15768.019530000001	8	
Q9VY24	Uncharacterized protein, isoform B	17.19	7	15	7	151585.18632	14	
Q9VY27	Nucleoside diphosphate kinase	18.54	3	3	3	505.26474	1	
Q9VY33	Defective proboscis extension response 8, isoform A	9.59	4	7	3	14603.0079	5	
Q9VY41	Plasminogen receptor (KT)	35.06	3	6	3	59752.821	6	
Q9VY42	Tyrosine aminotransferase	9.58	5	7	5	15406.3727	3	
Q9VY76	AMP deaminase	7.13	7	10	0	25986.50966	9	
Q9VY87	Cathepsin B, isoform A	20.59	5	11	5	115726.858	7	
Q9VY91	Programmed cell death protein 4	8.25	6	10	6	116726.93315	9	
Q9VY92	GEO07753p1	73.91	8	47	8	1022455.3115	34	
Q9VYA1	RE18811p	8.56	3	6	2	21493.8161	6	
Q9VYB2	LD19061p	2.83	2	2	2	3574.4637000000002	2	
Q9VYD5	Branched-chain-amino-acid aminotransferase	2.26	1	1	1	2260.084	1	
Q9VYF0	GM09012p	14.93	4	10	4	18855.22335	8	
Q9VYG8	CG15717-PA	15.08	4	6	4	32291.44237	4	
Q9VYJ1	FI12805p	7.33	5	6	5	12051.82411	4	
Q9VYK6	Tomosyn, isoform C	5.24	8	14	1	27210.16489	12	
Q9VYM0	CG2555-PA	14.21	3	6	1	4270.851360000001	3	
Q9VYM7	Uncharacterized protein, isoform C	14.62	6	14	2	3594.6881999999996	3	
Q9VYN1	protein kinase C	0.84	2	18	1	651102.5603	7	
Q9VYR4	Furrowed, isoform A	1.96	2	5	0	7392.22524	3	
Q9VYS2	GH09980p	7.06	6	7	6	24991.83706	6	
Q9VYT0	RE04130p	30.84	7	9	6	262311.8466	9	
Q9VYT1	BLOC-1-related complex subunit 5	8.6	3	8	3	10834.09509	6	
Q9VYT3	FI23714p1	3.57	5	7	5	10290.790719999999	4	
Q9VYT6	P24-related-1, isoform A	7.14	3	9	3	111573.38962	6	
Q9VYU9	RH17287p	45.02	7	14	7	119461.4935	13	
Q9VYV4	Amun, isoform A	4.91	3	5	3	12136.8804	4	
Q9VYV6	GEO09033p1	23.68	3	3	3	15423.7949	3	
Q9VZ00	FI19420p1	19.19	18	25	0	71181.50507	12	
Q9VZ19	Antennal dehydrogenase	35.6	6	24	6	547682.36191	19	
Q9VZ20	Dynein light intermediate chain	28.4	16	40	4	202472.96252	30	
Q9VZ24	GEO11412p1	44.25	7	77	7	1898845.4324	62	
Q9VZ34	RH72958p	2.64	2	5	2	8660.35674	4	
Q9VZ37	Uncharacterized protein, isoform A	7.81	1	1	1	2239.065	1	
Q9VZ58	Purple acid phosphatase	15.78	8	16	7	120659.15625	15	
Q9VZ59	LP02042p	6.12	1	4	0	26429.990100000003	3	
Q9VZ66	SD22308p	35.37	5	12	5	47638.7739	7	
Q9VZ67	Uncharacterized protein	28.99	2	9	2	14126.76024	8	
Q9VZ71	RE01453p	9.04	2	3	2	6293.673900000001	2	
Q9VZD9	Peroxisomal membrane protein 34, isoform A	11.46	3	7	3	25050.06398	6	
Q9VZE4	RE70333p	17.02	8	19	8	72895.17562	14	
Q9VZE9	V-type proton ATPase subunit	9.41	1	4	1	145118.1514	4	
Q9VZF6	Sulfide:quinone oxidoreductase, mitochondrial	3.94	2	3	2	8316.8615	3	
Q9VZF9	Cuticular protein 64Ad	32.79	6	20	6	307485.15380000003	13	
Q9VZG0	Cuticular protein 64Ac	43.62	9	67	9	2506522.43091	49	
Q9VZG1	Cuticular protein 64Ab	42.5	4	17	4	150751.69640000002	13	
Q9VZG2	Cuticular protein 64Aa	76.04	10	55	10	2015276.21132	43	
Q9VZH5	CLIP domain-containing serine protease	11.35	8	9	1	14301.88004	7	
Q9VZI1	Transgelin	82.98	14	100	1	2789082.09064	71	
Q9VZI8	Fumarylacetoacetase	10.07	4	7	4	35026.6212	6	
Q9VZJ2	GH27759p	16.59	7	14	7	49843.892810000005	10	
Q9VZJ8	FGGY carbohydrate kinase domain-containing protein	6.57	4	8	4	20799.0542	5	
Q9VZL1	Mitochondrial import receptor subunit TOM22 homolog	41.89	6	25	1	380532.1083	24	
Q9VZS1	protein-serine/threonine phosphatase	13.21	5	9	4	9823.19396	5	
Q9VZU7	Ubiquitin carboxyl-terminal hydrolase	10.76	10	21	10	142681.98440000002	17	
Q9VZV2	Chitinase 7	7.7	7	9	7	31522.2231	6	
Q9VZW1	Phospholipid scramblase	7.22	2	4	2	4758.74546	3	
Q9VZW7	Carnitine palmitoyltransferase 2	11.54	7	9	7	22806.0788	5	
Q9VZX6	LD06441p	7.98	3	4	3	29025.997199999998	3	
Q9VZY0	LD45195p	17.62	5	10	5	48304.501500000006	5	
Q9VZY9	Probable proline--tRNA ligase, mitochondrial	4.8	3	4	2	5559.94253	3	
Q9VZZ5	GEO12033p1	28.67	4	10	4	158390.0062	7	
Q9VZZ6	CG16985 protein	32.21	4	10	4	116116.2176	3	
Q9W022	GEO01508p1	64.08	8	33	8	904766.61043	29	
Q9W073	RH22148p	9.41	2	2	2	8842.52413	2	
Q9W077	Cuticular protein 62Bc, isoform A	32.78	4	17	4	716588.65026	16	
Q9W078	Cuticular protein 62Bb, isoform A	24.23	3	20	2	279374.10902000003	15	
Q9W086	Large ribosomal subunit protein mL46	20.54	6	11	6	29720.125500000002	8	
Q9W087	U6 snRNA-associated Sm-like protein LSm8	24.21	3	5	2	26425.1166	4	
Q9W095	glycerol kinase	2.78	2	2	2	4646.81117	2	
Q9W0A8	FI01658p	18.77	5	15	5	185450.07047	15	
Q9W0B3	Vacuolar protein sorting-associated protein VTA1 homolog	29.11	10	34	10	345800.22422	27	
Q9W0C3	GH11843p	61.22	12	26	12	233124.32932	16	
Q9W0D3	GH15728p	1.78	3	4	3	6345.0522	2	
Q9W0D9	choline-phosphate cytidylyltransferase	6.82	3	10	2	24851.53	3	
Q9W0H6	Acetyl-CoA acetyltransferase 2	29.08	9	25	9	78406.72293999999	13	
Q9W0H8	Reticulocalbin-3	24.32	9	18	4	277615.54445	16	
Q9W0H9	Rabaptin-5-associated exchange factor for Rab5	7.33	6	6	6	25030.96587	4	
Q9W0J9	GH07301p	41.93	10	20	9	233519.15217	16	
Q9W0K9	LD10220p	9.38	2	2	2	17039.598	1	
Q9W0L7	ubiquitinyl hydrolase 1	3.16	5	5	0	12196.199110000001	4	
Q9W0M4	Endoplasmic reticulum transmembrane protein	27.63	8	19	7	107672.44444	16	
Q9W0M5	Protein DPCD	8.56	2	4	2	5728.00224	4	
Q9W0N6	LD27967p	16.52	5	9	5	16100.3724	8	
Q9W0P4	GEO05053p1	15.45	2	4	2	12579.20167	4	
Q9W0Q2	Peptidyl-prolyl cis-trans isomerase	32.39	6	10	6	33368.288700000005	7	
Q9W0Q3	BLOC-1 related complex subunit 6, isoform A	3.64	1	1	1	9589.129	1	
Q9W0R0	Cell division cycle 5, isoform A	14.0	11	18	11	42210.38593	14	
Q9W0S6	Large ribosomal subunit protein bL17m	18.18	4	4	4	12653.8942	2	
Q9W0U0	glycerol kinase	2.23	1	1	0	9060.352	1	
Q9W0X0	Scavenger receptor class B member 1	12.89	8	13	0	101842.21865	13	
Q9W0X1	GH15894p	1.58	1	1	1	11555.843	1	
Q9W0X2	GEO07322p1	12.4	2	2	2	17097.03	1	
Q9W0X3	LD24657p	8.75	3	9	1	40154.313070000004	8	
Q9W0Z5	LP09747p	10.07	6	23	6	35792.28757	14	
Q9W125	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	68.0	9	46	9	2982954.72778	42	
Q9W127	Isochorismatase domain-containing protein 1	25.96	5	8	5	158051.3135	6	
Q9W136	Uncharacterized protein	39.13	6	15	6	138372.5562	10	
Q9W140	Regulatory protein zeste	6.4	3	5	3	1612.3918	1	
Q9W147	RNA polymerase II subunit A C-terminal domain phosphatase	9.89	6	8	6	4011.8499500000003	3	
Q9W149	RING-type E3 ubiquitin transferase	2.19	2	2	2	1551.2404	1	
Q9W158	LD36772p	7.49	3	11	3	39210.00786	8	
Q9W199	GEO07594p1	14.84	3	3	3	7818.5938	2	
Q9W1B9	Large ribosomal subunit protein uL11	46.67	8	31	8	616586.0778	26	
Q9W1C8	LD24355p	16.3	6	14	6	18681.93313	7	
Q9W1E8	Adaptor protein complex AP-3 small chain sigma3	15.18	3	6	3	37008.02915	6	
Q9W1F2	FI07217p	5.93	2	4	2	23552.0036	2	
Q9W1F7	IP15825p	25.14	10	36	10	660781.63076	29	
Q9W1F8	GEO08248p1	18.05	3	10	3	58439.670979999995	7	
Q9W1G7	LD21576p	24.05	7	13	7	235224.049	8	
Q9W1H5	Decapping protein 1, isoform A	12.37	4	8	4	46286.36205	8	
Q9W1H6	GH04238p	8.46	2	5	2	154119.697	3	
Q9W1H8	acetyl-CoA C-acyltransferase	31.77	14	54	14	708075.94033	43	
Q9W1I8	LD03592p	30.28	8	21	8	62271.28484	13	
Q9W1L1	Large ribosomal subunit protein mL43	17.19	4	8	4	29828.2661	6	
Q9W1L8	GH11818p	5.92	2	3	2	6551.0771	2	
Q9W1M9	Exosome complex component RRP4	16.11	4	5	4	6407.773800000001	3	
Q9W1N3	Levy, isoform A	50.46	5	24	5	807208.7792100001	22	
Q9W1N4	Serine-threonine kinase receptor-associated protein	2.74	1	1	1	7480.497	1	
Q9W1R0	RH49821p	6.07	3	5	3	9991.9482	5	
Q9W1R3	Golgin-245	14.24	21	27	21	77989.72853	22	
Q9W1V8	CG9893 protein	3.65	1	2	1	44020.192	2	
Q9W1W4	RE45066p	22.13	8	19	8	77883.18489	14	
Q9W1X5	GH04942p	13.03	18	41	3	223354.24176	31	
Q9W227	Peptidyl-prolyl cis-trans isomerase	64.39	13	56	13	1341396.20971	42	
Q9W229	40S ribosomal protein S24	37.4	5	11	5	538304.8500000001	8	
Q9W236	Vacuolar protein sorting 20, isoform A	8.02	3	7	3	17927.9756	5	
Q9W253	Small ribosomal subunit protein mS29	13.01	5	5	5	10208.94854	4	
Q9W254	Quaking related 58E-2, isoform A	30.53	10	30	9	125473.50313	22	
Q9W257	RH13652p	6.99	2	7	2	87175.1824	5	
Q9W258	Babos, isoform A	27.55	6	28	6	347064.80806999997	24	
Q9W259	FI23916p1	14.71	5	10	5	78089.92964	6	
Q9W260	GH03113p	15.4	9	26	9	100338.2181	23	
Q9W287	Cuticle protein 16.5-like	4.15	1	3	1	17124.6924	3	
Q9W289	Golgi matrix protein 130 kD	16.6	13	32	13	92870.73125	25	
Q9W299	Sugar phosphate phosphatase	4.13	2	3	2	14375.592200000001	2	
Q9W2E8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	16.36	2	17	2	211054.12119	13	
Q9W2I2	Queuosine 5'-phosphate N-glycosylase/hydrolase	8.16	3	3	3	8707.2314	3	
Q9W2J4	UDP-glucuronosyltransferase	2.82	2	2	2	34860.4121	2	
Q9W2J5	Uncharacterized protein, isoform A	17.66	7	16	0	34156.530399999996	7	
Q9W2K2	U6 snRNA-associated Sm-like protein LSm1	17.52	2	2	2	12837.695	1	
Q9W2L6	RH02475p	28.13	18	55	18	1117687.22435	45	
Q9W2M0	LD23155p	23.8	18	32	18	102253.70396	24	
Q9W2M4	Farnesoic acid O-methyl transferase domain-containing protein	44.93	12	62	12	3110141.10547	56	
Q9W2M9	FI16623p1	6.47	1	3	1	3182.50813	3	
Q9W2P5	U6 snRNA-associated Sm-like protein LSm6	39.24	4	9	4	30272.5689	4	
Q9W2S2	Autophagy-related 8a, isoform A	11.57	2	9	1	247283.6729	7	
Q9W2U8	Neb-cGP, isoform A	83.33	3	21	3	164196.33490000002	11	
Q9W2V2	FI20035p1	3.86	3	3	3	27533.5695	2	
Q9W2X6	ATP synthase F(1) complex subunit delta, mitochondrial	77.07	11	164	11	8907285.62074	122	
Q9W2Y5	YLP motif-containing protein 1	1.06	2	3	1	537.33356	1	
Q9W2Z7	Uncharacterized protein, isoform B	23.63	8	28	1	119876.64986	14	
Q9W306	GEO08256p1	14.05	2	4	2	31559.981	3	
Q9W308	GH05731p	27.17	4	9	4	65442.4844	7	
Q9W309	GEO08445p1	29.63	7	11	7	141878.90361	9	
Q9W314	GH14088p	9.57	4	9	4	18752.26775	7	
Q9W329	Golgi-localized, gamma-adaptin ear containing, ARF binding protein	11.06	8	13	8	37552.14627	10	
Q9W330	Phosphotransferase	24.4	11	31	3	753416.95765	29	
Q9W335	Translocon-associated protein subunit alpha	21.19	3	5	3	142903.106	5	
Q9W337	GH19985p	21.56	4	12	4	72606.8729	8	
Q9W350	C11.1, isoform A	2.12	3	3	3	1896.3566799999999	3	
Q9W370	GEO12084p1	44.26	4	19	4	301376.72746	16	
Q9W373	SET and MYND domain containing, arthropod-specific, member 9, isoform A	8.8	5	7	5	32792.52203	6	
Q9W374	Dihydropyrimidine dehydrogenase [NADP(+)]	8.15	9	12	9	16678.071500000002	8	
Q9W392	T-complex protein 1 subunit beta	41.12	18	46	18	512366.14468	39	
Q9W396	FI06908p	12.08	3	5	3	16706.5708	3	
Q9W3B3	Uroporphyrinogen-III synthase	13.0	4	6	4	28274.8721	6	
Q9W3C3	LD10016p	17.41	8	12	8	38834.25226	8	
Q9W3C4	beta-N-acetylhexosaminidase	4.34	3	6	3	14875.83064	5	
Q9W3F6	Bleomycin hydrolase	12.91	5	9	1	48228.361750000004	8	
Q9W3G8	pyridoxal 5'-phosphate synthase	16.43	4	7	4	30492.2728	6	
Q9W3H4	LD36273p	62.35	12	36	12	461148.97503	31	
Q9W3J1	G protein beta subunit 5	6.7	2	3	2	18647.446	2	
Q9W3J6	FI06457p	12.29	4	4	4	4487.0322	2	
Q9W3K6	LD35927p	5.12	4	6	4	48229.9068	6	
Q9W3K9	Short-chain dehydrogenase/reductase 3	30.31	9	24	9	569132.1718	22	
Q9W3L4	GH20802p	12.56	6	12	6	34717.825509999995	9	
Q9W3M7	RNA helicase	9.1	8	19	8	44026.8831	12	
Q9W3M8	LD34211p	32.16	7	17	7	207460.41733	13	
Q9W3N1	RH59310p	7.17	2	3	2	4936.1202	3	
Q9W3N7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	37.5	3	10	2	59807.19056	6	
Q9W3N9	Acetyl-CoA acetyltransferase 1, isoform A	37.56	13	35	13	393239.72387	29	
Q9W3Q0	FI07418p	18.35	4	11	3	10975.796170000001	3	
Q9W3R8	sn-1-specific diacylglycerol lipase ABHD11	7.14	3	5	3	56798.3696	5	
Q9W3T2	Coiled-coil domain-containing protein 25	18.66	5	11	5	34823.974	8	
Q9W3T9	GM01152p	50.42	10	21	10	156832.26986	17	
Q9W3U9	CG14434-PA	36.9	6	15	0	45117.8706	12	
Q9W3V2	FI19713p1	4.82	4	5	4	8318.181840000001	4	
Q9W3V3	E3 ubiquitin-protein ligase ZNRF1	6.6	2	5	2	3427.8572	2	
Q9W3W4	5-demethoxyubiquinone hydroxylase, mitochondrial	9.59	2	6	2	39057.757240000006	6	
Q9W3X7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	56.57	10	58	10	1463892.14243	49	
Q9W3X8	RH42690p	13.47	5	10	5	11609.03402	7	
Q9W3Y3	Calcyclin-binding protein	27.83	6	12	6	93153.4242	10	
Q9W3Z4	GH18625p	2.43	1	3	1	4765.679	1	
Q9W402	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	59.74	11	56	11	1981703.38021	49	
Q9W403	LD24968p	11.05	6	14	6	21208.498170000003	10	
Q9W404	GH10714p	10.34	5	10	4	13327.14404	5	
Q9W411	Uncharacterized protein, isoform A	20.81	3	4	3	3982.7048	2	
Q9W414	Regulatory particle triple-A ATPase 4	47.86	16	41	11	482460.81767	35	
Q9W425	Rabconnectin-3A	0.7	3	3	3	9274.0225	3	
Q9W457	Serine hydroxymethyltransferase	33.71	20	77	0	1317339.89034	63	
Q9W461	LD23868p	10.93	5	10	5	22922.89027	6	
Q9W482	Lin-52, isoform A	19.11	3	3	3	10886.3877	3	
Q9W483	GH18971p	15.83	5	8	5	43705.12458	5	
Q9W486	LD13361p	5.65	3	4	1	8767.55925	4	
Q9W499	Large ribosomal subunit protein uL29	12.2	2	11	2	99319.20680000001	10	
Q9W4A0	GH11193p	24.87	5	10	5	50988.0381	8	
Q9W4A6	Otopetrin-like a, isoform A	3.6	4	4	1	27030.495899999998	3	
Q9W4C2	lysozyme	18.42	4	5	4	42539.2942	5	
Q9W4I3	Large ribosomal subunit protein uL30m	43.33	8	11	8	36578.0225	9	
Q9W4J7	Uncharacterized protein	11.79	3	5	3	16896.9819	4	
Q9W4K0	CHOp24, isoform A	36.06	7	24	7	400107.43682	18	
Q9W4M7	Twenty-four, isoform B	2.46	5	7	3	4619.39072	3	
Q9W4N8	LD30122p	72.86	14	57	1	1903934.18207	44	
Q9W4U2	RH09070p	31.33	6	19	6	73758.1733	12	
Q9W4W4	RING-type E3 ubiquitin transferase	6.71	4	5	4	9585.63143	4	
Q9W4W5	RE47284p	13.77	5	10	5	124530.8664	10	
Q9W4W8	Paraplegin, isoform A	15.26	14	34	14	172354.81963	24	
Q9W4Y1	aralkylamine N-acetyltransferase	25.88	6	13	6	34362.01346	10	
Q9W4Z1	EG:BACH48C10.5 protein	6.97	9	12	0	10359.109260000001	7	
Q9W4Z2	Large ribosomal subunit protein uL14m	19.25	4	7	4	7161.8865	5	
Q9W503	RH61816p	23.76	8	17	8	85062.53785	14	
Q9W5B4	GH18858p	20.38	6	12	6	269052.2491	7	
Q9W5B5	Gamma-butyrobetaine dioxygenase	9.61	3	3	3	1606.42138	3	
Q9W5E2	EG:115C2.8 protein	5.64	2	3	2	371.60532	1	
Q9W5G7	EG:BACR37P7.8 protein	17.32	5	8	0	20624.59761	7	
Q9W5R5	Sarcolemmal membrane-associated protein	6.8	7	9	7	30526.3822	8	
Q9W5W7	GH19483p	6.06	4	6	4	34077.343	6	
Q9W5W8	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	45.51	13	44	13	866189.81662	40	
Q9W5X0	LD21953p	23.88	5	25	0	32510.510400000003	3	
Q9XTL2	Jak pathway signal transduction adaptor molecule	8.85	7	11	7	75889.82896	9	
Q9XYW6	E3 ubiquitin-protein ligase CHIP	26.3	8	14	8	39683.37495	10	
Q9XYZ9	Glutathione S transferase E12, isoform A	80.27	12	52	12	2005047.20085	42	
Q9XZ19	Uncharacterized protein	5.14	2	3	2	15434.95826	3	
Q9XZ61	Ubiquitin carboxyl-terminal hydrolase	30.25	9	22	9	152614.97463	19	
Q9Y0Y5	Coatomer subunit epsilon	27.78	8	17	8	186339.58815	16	
Q9Y112	BcDNA.GH10614	54.75	18	86	16	2170993.34877	74	
Q9Y114	UBX domain-containing protein 4	30.49	22	52	22	251057.78621	44	
Q9Y119	BcDNA.GH08860	18.54	16	35	16	108890.69847	27	
Q9Y125	BcDNA.GH08312	25.5	27	141	2	2953105.5611199997	102	
Q9Y128	Ceramide transfer protein	9.65	6	10	3	10172.447540000001	5	
Q9Y136	Neprilysin-like 21	7.92	6	11	3	21663.1323	6	
Q9Y143	BcDNA.GH05536	50.38	11	64	11	1582402.64796	54	
Q9Y156	BcDNA.GH02976	14.84	5	5	5	31311.122099999997	5	
Q9Y162	vesicle-fusing ATPase	26.02	15	42	15	391255.51430000004	33	
Q9Y164	BcDNA.GH02439	51.63	16	81	0	4152839.91255	71	
Q9Y171	BcDNA.GH02220	4.76	2	5	2	5874.064	3	
R9PY51	Uncharacterized protein	34.95	5	42	5	2647725.37783	24	
X2J4C1	Synaptotagmin 1, isoform I	51.48	24	139	0	2634877.70497	111	
X2J516	Trifunctional purine biosynthetic protein adenosine-3	6.58	11	17	0	84484.0285	10	
X2J979	Synaptotagmin 1, isoform H	56.45	24	135	1	51021.6091	5	
X2JAT7	Fasciclin 3, isoform G	16.7	7	28	0	6944.5854	1	
X2JAZ3	mitogen-activated protein kinase kinase	15.52	7	10	1	25448.6741	6	
X2JB48	ADP/ATP translocase	66.22	21	145	1	3867160.10266	113	
X2JCY4	Stoned B, isoform H	11.76	13	30	1	89024.71231	23	
X2JDJ5	Multiple edematous wings, isoform F	4.34	5	8	0	16156.98633	6	
X2JDM7	Guanine nucleotide-binding protein subunit gamma	22.69	9	158	0	7734880.48451	109	
X2JEN5	Uncharacterized protein, isoform H	30.54	5	8	3	11101.85596	3	
X2JKC1	Lipid storage droplet-2, isoform E	35.52	10	28	0	5883.3949999999995	2	
O76932	Serine/threonine-protein phosphatase 4 catalytic subunit	6.51	2	2	0	3621.4456	2	
P10674	Fasciclin-1	43.71	29	142	1	1767.6556	1	
Q08605	Transcription activator GAGA	6.37	3	3	0	5377.237300000001	2	
Q9V3H8	NTF2-related export protein	12.03	2	2	1	6429.9515	2	
Q9V7Y2	Sphingosine-1-phosphate lyase	4.77	3	3	3	9014.645	1	
Q9VE09	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	4.72	3	3	3	354.8886	1	
Q9VES1	ADP-ribosylation factor-like protein 6-interacting protein 1	4.06	1	1	0	7678.805	1	
Q9VK68	PITH domain-containing protein CG6153	7.11	2	4	0	4877.2495	2	
Q9VPD2	Cytosolic Fe-S cluster assembly factor Nubp2 homolog	6.15	2	3	2	4170.25033	2	
Q9VVW5	Dual specificity protein phosphatase Mpk3	4.62	2	3	0	8008.9130000000005	2	
Q9VWS2	Nucleoporin Nup35	6.65	3	4	3	15502.8877	2	
Q9W568	Protein halfway	5.56	3	4	0	1275.60584	3	
Q9XZT1	Mediator of RNA polymerase II transcription subunit 18	9.68	2	2	1	600.523	1	
Q9Y0Y6	Nuclear receptor-binding protein homolog	3.3	2	4	0	7585.1846	1	
A0A0B4JD15	Guanine nucleotide-binding protein subunit alpha	11.08	3	5	0	897.0353	1	
A0A0B4K7U4	Muscleblind, isoform H	2.42	2	4	0	15614.80966	3	
A0A0B4KEZ2	Nervy, isoform D	2.11	2	2	0	1493.00933	2	
A0A0B4KFK9	Canoe, isoform F	1.69	3	5	0	4717.21975	3	
A0A0B4KGN2	MICOS complex subunit MIC60	45.84	36	139	1	79852.22	1	
A0A0B4LGY0	Uncoordinated 115a, isoform H	26.04	20	57	1	13891.915	1	
A0ACD4DAB9	Bruchpilot, isoform R	51.29	108	368	0	25540.5853	3	
A1Z7M0	Space blanket	5.71	2	4	2	5992.40909	4	
A8JNQ4	RNA-binding Fox protein 1, isoform I	2.39	2	6	0	34132.946599999996	5	
B5RJS0	IP20241p	2.69	3	3	0	2263.2166	1	
E1JJM0	FI20063p1	14.83	10	14	0	87364.83709999999	10	
E2QD26	Phosphopantothenoylcysteine synthetase, isoform C	5.9	2	3	1	2471.38745	3	
M9PEX2	Uncharacterized protein, isoform D	25.93	10	33	1	9944.3634	4	
M9PHI0	Hyperkinetic, isoform M	2.03	2	3	0	10528.123	2	
Q0E8R1	FI07211p	29.47	10	55	0	7260.3627	2	
Q5U0V7	phosphoinositide 5-phosphatase	2.13	3	3	3	308.3652	1	
Q6NLA3	V-type proton ATPase subunit a	7.98	8	19	0	92498.82632000001	17	
Q7JWH6	RE61424p	6.99	2	3	2	5590.0063	1	
Q7JZJ3	Cuticular protein 56F	11.98	3	4	3	1760.90054	3	
Q7K1Q7	Ribosome assembly factor mrt4	9.77	3	5	3	54775.53093	5	
Q7KVW1	RE73736p	4.94	3	4	0	16891.1607	4	
Q7PLV6	FI02158p	1.7	2	2	2	982.3058	1	
Q8I062	GH23305p	80.95	19	194	1	10165.905200000001	2	
Q8I937	Ribosome biogenesis regulatory protein	5.16	2	3	2	3843.1	1	
Q8IRB4	Tumor protein p53 inducible nuclear protein, isoform C	2.93	1	1	0	351.81067	1	
Q9I7N2	Nucleoporin NUP42	4.27	2	3	0	3918.0899	3	
Q9V3T2	Mitochondrial 2-oxodicarboxylate carrier	7.52	2	3	1	7694.487	2	
Q9VCS2	Short-chain dehydrogenase/reductase 3	2.49	1	3	1	6975.2011600000005	2	
Q9VHX1	LD44032p	1.41	1	1	1	499.65112	1	
Q9VKC1	IP16805p	2.72	1	1	1	8591.695	1	
Q9VPY2	Phospholipase A2 activator protein, isoform A	3.43	3	4	3	1427.8097	3	
Q9VSE8	UDP-glucuronic acid decarboxylase 1	5.9	3	4	3	4893.7132	3	
