Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M1	Abundances Count: F5: 128N, Sample, n/a, SF1g_M1	Modifications
Q9VJ31	Betaine-homocysteine S-methyltransferase	10.88	4	8	4	46474.646400000005	7	
Q9VJ33	Ubiquitin-like protein NEDD8	23.81	2	21	0	131623.91519	20	
Q9VJC7	Elongation factor Ts, mitochondrial	24.84	8	18	8	188709.1211	16	
Q9VJD2	Ragulator complex protein LAMTOR3 homolog	24.19	2	3	0	11622.9487	3	
Q9VJD3	Conserved oligomeric Golgi complex subunit 5	2.4	2	2	0	2528.0276	1	
Q9VJE4	DNA-directed RNA polymerase II subunit RPB11	8.55	1	1	1	3921.6707	1	
Q9VJG0	Xaa-Pro aminopeptidase ApepP	4.24	3	4	3	3344.7473	1	
Q9VJG4	Electron transfer flavoprotein regulatory factor 1 homolog	32.94	3	5	3	21730.47138	5	
Q9VJI9	Cytosolic Fe-S cluster assembly factor Nubp1 homolog	20.58	6	13	6	137370.03312	11	
Q9VJL6	Glia maturation factor	5.8	1	3	1	3403.27405	3	
Q9VJQ5	Protein Dr1	8.2	2	4	2	5153.416800000001	2	
Q9VJY6	Large ribosomal subunit protein eL24	34.84	7	12	0	209919.3353	12	
Q9VJY9	Protein Loquacious	11.61	5	9	0	28557.92586	5	
Q9VKA0	UPAR/Ly6 domain-containing protein crok	9.93	1	3	1	6855.0624	3	
Q9VKD3	Cysteine desulfurase, mitochondrial	21.86	9	30	9	268525.46117	24	
Q9VKH0	Conserved oligomeric Golgi complex subunit 8	7.02	4	4	4	2650.6357599999997	2	
Q9VKJ8	Alpha-L-iduronidase	3.62	3	3	3	3440.9732	2	
Q9VKJ9	Coiled-coil and C2 domain-containing protein 1-like	8.33	8	16	0	68852.94826	14	
Q9VKK1	Enhancer of mRNA-decapping protein 4 homolog	5.47	8	12	8	14858.47319	8	
Q9VKV5	CD2 antigen cytoplasmic tail-binding protein 2 homolog	9.4	4	4	4	13535.4815	3	
Q9VKX4	Small ribosomal subunit protein uS7m	16.97	4	6	0	13086.36017	5	
Q9VKY2	Cullin-associated NEDD8-dissociated protein 1	2.56	4	5	0	9633.3622	4	
Q9VL00	Ubiquitin thioesterase otubain-like	11.45	3	5	3	22703.5295	3	
Q9VL13	MOB kinase activator-like 3	5.0	1	2	1	3596.87014	2	
Q9VL18	Probable elongation factor 1-delta	58.59	17	35	17	996499.4343	33	
Q9VL78	FK506-binding protein 59	55.81	26	79	0	1089758.58599	70	
Q9VLF6	UPF0585 protein CG18661	11.71	3	3	0	25660.875	2	
Q9VLJ6	Angiotensin-converting enzyme-related protein	10.63	8	10	0	36416.5152	7	
Q9VLM8	Alanine--tRNA ligase, cytoplasmic	10.14	10	13	10	87091.516	12	
Q9VLP3	Guanine nucleotide exchange factor MSS4 homolog	46.72	5	18	5	163799.94085	14	
Q9VLR5	RNA polymerase II transcriptional coactivator	25.45	3	6	3	100300.3604	5	
Q9VLS9	Beta-lactamase-like protein 2 homolog	21.58	5	12	5	211320.952	6	
Q9VLT8	WASH complex subunit 3	10.23	2	3	2	9908.1553	3	
Q9VLU0	Barrier-to-autointegration factor	74.44	5	26	0	728134.6484	24	
Q9VLU4	Serine protease inhibitor 28Dc	4.29	3	3	3	33944.3327	3	
Q9VLV5	Probable small nuclear ribonucleoprotein E	27.66	3	7	3	119151.137	5	
Q9VLV7	Protein spaetzle 3	6.06	3	3	3	4684.68283	3	
Q9VM33	Elongation factor G, mitochondrial	4.7	4	4	4	6979.42094	3	
Q9VM65	FGFR1 oncogene partner 2 homolog	16.51	6	7	0	16852.81367	5	
Q9VM71	5'-3' exoribonuclease 2 homolog	0.88	1	1	1	1991.7386	1	
Q9VMA2	Probable galactose-1-phosphate uridylyltransferase	11.14	5	9	0	21337.53064	8	
Q9VMA7	Transport and Golgi organization protein 1	7.41	12	14	0	16903.36978	8	
Q9VMC8	PHD finger-like domain-containing protein 5A	33.33	5	10	5	148974.6637	7	
Q9VMD9	Tiggrin	12.16	31	55	0	178975.37536	43	
Q9VMG0	Arylalkylamine N-acetyltransferase-like 2	10.65	3	3	3	2683.3869999999997	2	
Q9VMM6	Protein obstructor-E	35.34	7	17	7	187355.78007	15	
Q9VMQ5	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	5.87	3	3	3	6379.1673599999995	3	
Q9VMQ7	Elongator complex protein 4	3.43	2	3	2	49397.092000000004	3	
Q9VMR8	Protein Turandot M	30.53	3	5	0	129057.30189999999	5	
Q9VMT5	Probable cytochrome P450 28d1	15.54	9	20	9	74387.71544	17	
Q9VMU4	Large ribosomal subunit protein eL43	27.17	3	9	0	56693.2678	9	
Q9VMU5	Protein quick-to-court	9.57	8	10	0	14384.90344	8	
Q9VMW7	Inosine triphosphate pyrophosphatase	49.74	11	23	11	324073.9619	20	
Q9VMW9	GDP-mannose 4,6 dehydratase	4.05	2	2	2	3769.1287	1	
Q9VMX0	Large ribosomal subunit protein bL28m	9.93	3	4	0	6818.471320000001	3	
Q9VMY1	Large ribosomal subunit protein uL24m	21.46	7	7	7	16129.934500000001	6	
Q9VMY9	Guanine deaminase	8.93	4	6	4	25169.13167	4	
Q9VN12	Probable sodium/potassium/calcium exchanger CG1090	3.0	1	3	0	1638.61215	2	
Q9VN13	Sideroflexin-1-3	16.51	5	12	5	105138.1684	10	
Q9VN14	Contactin	17.77	24	48	24	384509.35416	34	
Q9VN19	Golgi to ER traffic protein 4 homolog	13.57	4	6	0	9021.9393	4	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	5.61	8	12	8	28143.945780000002	9	
Q9VN50	Eukaryotic translation initiation factor 3 subunit F-1	29.29	7	13	7	110292.70483	9	
Q9VN91	MORN repeat-containing protein 4 homolog	47.98	9	46	9	482849.91689	36	
Q9VN93	Cathepsin F	23.62	16	36	13	876085.92471	32	
Q9VN95	Enolase-phosphatase E1	17.97	4	13	4	148858.90529999998	12	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	4	0	1863.4043000000001	2	
Q9VNA5	Proteasome subunit beta type-4	27.99	5	5	5	236539.567	4	
Q9VND8	GTP-binding protein Rheb homolog	26.37	6	15	6	224338.03814999998	13	
Q9VNE2	Protein krasavietz	22.04	12	30	12	284286.57866	25	
Q9VNE9	Large ribosomal subunit protein uL13	24.39	7	12	3	188136.5179	9	
Q9VNI3	Histone PARylation factor 1	9.8	4	4	4	9672.8259	3	
Q9VP48	Ras-related protein Rab-26	12.89	5	12	0	20224.3514	5	
Q9VP61	Acetyl-coenzyme A synthetase	13.58	10	14	0	32936.32932	14	
