Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M2	Abundances Count: F5: 129N, Sample, n/a, Earth_M2	Modifications
Q9VIX1	Galactose-specific C-type lectin, isoform A	24.19	3	7	3	204008.95899999997	7	
Q9VIX7	Fondue, isoform B	11.79	5	13	1	188187.7613	11	
Q9VJ19	Large ribosomal subunit protein eL30	59.46	5	24	5	643934.3378	24	
Q9VJ22	GH09876p	8.0	2	2	2	11255.01036	2	
Q9VJ25	Membrane magnesium transporter	16.51	2	4	2	78966.75	4	
Q9VJ28	L-2-hydroxyglutarate dehydrogenase, mitochondrial	15.82	7	11	7	503052.6983	10	
Q9VJ30	non-specific serine/threonine protein kinase	4.1	5	8	0	116658.73300000001	7	
Q9VJ43	Sterol carrier protein 2	37.5	16	45	7	1285246.285	37	
Q9VJ58	Fas-associated factor 2, isoform A	16.81	8	9	8	229033.704	8	
Q9VJ59	PRA1 family protein	8.7	2	3	2	71310.1795	3	
Q9VJ60	GM16226p	10.28	3	5	3	122371.2489	5	
Q9VJ61	SD03870p	1.64	1	1	1	19272.402	1	
Q9VJ68	Hydroxylysine kinase	17.03	7	10	7	225829.5616	10	
Q9VJ80	LD42267p	7.96	10	11	10	79405.3496	8	
Q9VJ86	Leucine-rich PPR motif-containing protein, mitochondrial	8.36	11	14	10	62199.26995	10	
Q9VJA9	GH07373p	4.86	3	3	0	30484.2614	3	
Q9VJC0	GEO08203p1	37.96	5	6	5	85960.6273	5	
Q9VJD0	Mitochondrial inner membrane protease ATP23	18.37	5	6	5	69568.3533	6	
Q9VJD1	Glucosidase 2 subunit beta	21.53	12	24	12	315059.3298	19	
Q9VJD4	LD24721p	32.33	11	29	11	1721747.1831	26	
Q9VJE3	LD24839p	7.67	4	5	4	43688.904950000004	4	
Q9VJH8	FI03416p	2.58	2	2	2	45514.403	2	
Q9VJI5	Protein yellow	9.71	5	6	5	201168.1183	6	
Q9VJI7	U6 snRNA-associated Sm-like protein LSm7	64.55	6	8	6	109928.5411	6	
Q9VJJ0	Proteasome subunit beta	37.81	6	14	6	1019092.86	13	
Q9VJJ1	COX assembly mitochondrial protein	14.41	2	2	2	21048.0595	2	
