Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 129N, Sample, n/a, Earth_M3	Abundances Count: F8: 129N, Sample, n/a, Earth_M3	Modifications
Q9VE73	WD repeat-containing protein 37	3.49	2	2	2	11276.926000000001	2	
Q9VE75	V-type proton ATPase subunit a	2.28	3	3	3	75793.192	2	
Q9VE85	Nucleoporin 43kD	19.27	7	9	7	134461.9012	9	
Q9VE94	LD14127p	8.85	3	4	3	95035.746	4	
Q9VEA1	Eukaryotic translation initiation factor 4C	31.08	6	15	6	742973.2326	13	
Q9VEA7	FI01460p	44.94	3	5	3	764672.4355	5	
Q9VEB1	Malate dehydrogenase, mitochondrial	85.12	28	305	28	102575405.4072	267	
Q9VEB7	AT04491p	12.1	4	4	4	52344.03719999999	4	
Q9VEC2	Proteasome assembly chaperone 2	36.44	8	9	8	382980.638	9	
Q9VEC6	LD29902p	14.83	12	17	0	2291.57647	2	
